Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2213;0;0;14;247;154;116;107;2789;1781;5268;531;9945;9945;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2214;0;0;26;276;162;129;199;3117;1874;5858;593;11048;11048;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2215;0;0;20;255;155;138;153;2880;1793;6267;568;11093;11093;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2216;0;0;24;288;161;120;184;3252;1862;5450;593;10748;10748;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2217;0;0;17;263;169;132;130;2970;1955;5995;581;11050;11050;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2218;0;0;14;270;162;144;107;3049;1874;6540;590;11570;11570;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2219;0;0;13;260;162;167;99;2936;1874;7584;602;12493;12493;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2220;0;0;21;245;161;150;161;2767;1862;6812;577;11602;11602;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2221;0;0;19;263;162;132;145;2970;1874;5995;576;10984;10984;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2222;0;0;16;303;169;144;122;3422;1955;6540;632;12039;12039;0.0;0.0;0.0;0.0;0.0;0.0;0.0
